User ID;textIndex;emotionIndex;delFreq;leftFreq;TotTime
100;FI;N;8;1;192762
100;FR;N;145;0;
100;FR;H;0;0;
100;FI;H;11;0;99463
113;FI;N;10;0;84265
113;FR;N;44;0;
113;FR;C;24;0;
113;FI;C;7;0;78186
113;FR;H;15;0;
113;FI;H;9;0;48354
113;FR;A;2;0;
113;FI;A;8;0;56462
113;FR;S;11;0;
113;FI;S;2;0;47297
58;FI;N;3;0;74218
58;FR;N;18;0;
58;FR;S;0;0;
58;FI;S;2;0;56512
58;FR;C;3;0;
58;FI;C;6;0;67073
63;FI;N;7;0;78569
63;FR;N;22;0;
58;FR;A;7;0;
58;FI;A;3;0;58543
63;FI;C;1;0;50146
63;FR;C;6;5;
84;FI;N;10;1;208779
84;FR;N;0;1;
84;FI;H;2;0;98736
84;FR;H;1;1;
58;FI;H;0;0;36777
58;FR;H;15;0;
139;FI;N;3;5;129700
139;FR;N;112;9;
139;FR;H;2;1;
139;FI;H;2;1;67581
110;FI;N;18;0;148985
110;FR;N;37;0;
110;FR;H;6;0;
110;FI;H;3;0;66352
83;FI;N;12;1;106787
95;FI;N;14;0;64764
95;FR;N;13;0;
95;FR;S;28;0;
95;FI;S;14;0;45005
130;FI;N;5;0;95197
130;FR;N;10;0;
130;FR;H;0;0;
130;FI;H;6;0;61883
141;FI;N;4;0;88328
122;FI;N;5;0;38097
122;FR;N;15;0;
141;FR;N;68;0;
121;FI;N;4;0;103400
121;FR;N;58;9;
121;FR;S;23;0;
121;FI;S;6;0;61291
135;FI;N;13;0;96019
135;FR;N;4;0;
121;FR;H;77;1;
121;FI;H;5;0;60732
70;FI;N;9;0;102706
70;FR;N;17;0;
70;FR;H;16;0;
70;FI;H;7;0;64216
170;FI;N;7;0;123464
170;FR;N;2;0;
170;FI;C;2;0;98157
170;FR;C;16;0;
98;FI;N;1;0;109910
98;FR;N;8;0;
98;FR;H;51;0;
98;FI;H;9;0;96806
120;FI;N;7;0;123938
120;FR;N;1;0;
120;FR;H;3;0;
120;FI;H;5;0;53774
120;FI;N;21;0;684946
120;FR;N;20;0;
126;FI;N;8;1;93320
126;FR;N;23;0;
131;FI;N;5;32;64934
131;FR;N;0;0;
122;FI;N;38;16;159535
122;FR;N;74;32;
94;FI;N;32;0;74191
94;FR;N;4;0;
94;FR;S;6;0;
94;FI;S;6;0;44272
120;FR;C;20;0;
120;FI;C;15;3;152388
82;FI;N;17;2;262286
82;FR;N;6;10;
40;FI;N;1;0;79179
40;FR;N;10;0;
40;FR;C;1;0;
40;FI;C;0;0;55991
73;FI;N;5;0;93020
73;FR;N;7;0;
25;FI;N;1;0;82270
25;FR;N;38;0;
25;FR;H;0;0;
25;FI;H;1;0;53846
171;FI;N;22;0;203345
171;FR;N;7;0;
171;FR;H;13;0;
171;FI;H;5;6;63056
101;FI;N;19;0;67307
101;FR;N;37;0;
101;FR;A;6;0;
101;FI;A;18;0;43413
101;FR;H;8;0;
101;FI;H;2;0;32199
70;FI;N;13;1;170386
70;FR;N;23;0;
70;FR;H;51;31;
70;FI;H;3;0;40407
167;FI;N;19;0;98239
167;FR;N;9;0;
167;FI;H;13;0;33559
167;FR;H;19;0;
31;FI;N;4;0;112016
31;FI;N;2;0;301551
31;FI;N;0;0;301551
31;FR;N;4;1;
31;FR;H;1;0;
31;FI;H;4;0;51703
144;FI;N;3;0;67655
144;FR;N;6;0;
144;FR;H;0;0;
144;FI;H;1;0;34748
144;FR;S;15;0;
144;FI;S;0;0;36924
144;FR;C;3;0;
144;FI;C;2;0;45846
131;FI;N;6;0;145571
131;FR;N;15;0;
131;FR;C;7;0;
131;FI;C;9;0;114979
94;FI;N;4;0;68602
94;FR;N;12;0;
94;FR;H;11;11;
94;FI;H;4;0;39048
94;FR;C;7;0;
94;FI;C;6;0;43685
109;FI;N;0;0;34550
109;FR;N;38;0;
109;FR;H;1;0;
109;FI;H;8;0;19565
55;FI;N;5;0;56803
55;FR;N;10;0;
55;FR;C;1;0;
55;FI;C;3;0;93377
67;FI;N;2;0;59250
67;FR;N;2;0;
67;FR;H;0;0;
67;FI;H;5;0;27284
117;FI;N;25;0;61159
117;FR;N;13;0;
117;FR;H;10;0;
117;FI;H;12;0;34787
130;FI;N;11;0;260557
130;FR;N;37;0;
110;FI;N;4;0;54154
110;FR;N;2;0;
110;FR;C;9;0;
110;FI;C;2;0;35736
110;FR;H;15;0;
110;FI;H;4;0;33494
79;FI;N;8;0;551332
79;FR;N;72;0;
44;FI;N;5;0;63783
44;FR;N;0;0;
44;FR;S;8;0;
44;FI;S;1;0;44338
127;FI;N;4;0;95603
127;FR;N;9;8;
127;FI;C;0;0;57625
127;FR;C;25;0;
164;FI;N;10;0;292312
164;FR;N;3;0;
133;FI;N;6;0;69013
133;FR;N;7;0;
133;FR;A;4;0;
133;FI;A;18;0;53759
133;FR;S;6;0;
133;FI;S;4;0;61856
133;FR;C;6;0;
133;FI;C;5;0;62902
133;FR;H;10;0;
133;FI;H;1;0;29665
164;FI;H;0;0;102126
164;FR;H;3;0;
87;FI;N;7;3;112325
87;FR;N;0;13;
87;FR;C;2;5;
87;FI;C;8;0;87058
142;FI;N;7;0;42703
142;FR;N;19;0;
142;FR;C;23;0;
