userId;typeWith;typistType;pcTimeAverage;ageRange;gender;status;degree;country
100;2 hands;Touch Typist;More than 3 hours per day;16-19;Female;Student;College/University;Tunisia
113;2 hands;Two Finger Typist;less than an hour per day;20-29;Female;Student;College/University;Tunisia
58;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Student;College/University;Tunisia
63;2 hands;One Finger Typist;between 1 hour and 3 hours per day;20-29;Female;Student;College/University;Tunisia
84;1 hand;One Finger Typist;less than an hour per day;>=50;Male;Professional;College/University;Tunisia
139;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Student;College/University;Tunisia
110;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Student;College/University;Tunisia
83;2 hands;Touch Typist;less than an hour per day;20-29;Female;Student;College/University;France
95;2 hands;Touch Typist;More than 3 hours per day;30-39;Male;Professional;College/University;Tunisia
130;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Student;College/University;Tunisia
141;2 hands;Touch Typist;between 1 hour and 3 hours per day;16-19;Female;Student;College/University;Tunisia
122;2 hands;Touch Typist;More than 3 hours per day;20-29;Male;Professional;College/University;Tunisia
121;2 hands;Touch Typist;less than an hour per day;30-39;Male;Professional;College/University;Tunisia
135;2 hands;Two Finger Typist;between 1 hour and 3 hours per day;20-29;Female;Student;College/University;Tunisia
70;2 hands;One Finger Typist;less than an hour per day;20-29;Male;Student;College/University;Tunisia
170;2 hands;Two Finger Typist;between 1 hour and 3 hours per day;30-39;Male;Professional;College/University;Tunisia
98;1 hand;Two Finger Typist;less than an hour per day;20-29;Male;Student;College/University;Tunisia
120;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Student;College/University;Tunisia
120;2 hands;Touch Typist;More than 3 hours per day;20-29;Male;Professional;College/University;Tunisia
126;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Professional;College/University;France
131;2 hands;Touch Typist;less than an hour per day;20-29;Male;Student;College/University;Tunisia
122;2 hands;Touch Typist;More than 3 hours per day;20-29;Male;Student;College/University;Suisse
94;2 hands;Touch Typist;More than 3 hours per day;20-29;Male;Student;College/University;Barbade
82;2 hands;Two Finger Typist;More than 3 hours per day;30-39;Female;Student;College/University;Tunisia
40;2 hands;Two Finger Typist;More than 3 hours per day;20-29;Male;Professional;College/University;Tunisia
73;2 hands;Touch Typist;More than 3 hours per day;20-29;Male;Professional;College/University;Tunisia
25;2 hands;Two Finger Typist;More than 3 hours per day;20-29;Female;Student;College/University;Tunisia
171;2 hands;Touch Typist;between 1 hour and 3 hours per day;20-29;Female;Student;College/University;France
101;2 hands;Touch Typist;between 1 hour and 3 hours per day;20-29;Male;Student;College/University;Tunisia
70;2 hands;Two Finger Typist;between 1 hour and 3 hours per day;20-29;Male;Student;College/University;Germany
13;1 hand;One Finger Typist;between 1 hour and 3 hours per day;20-29;Female;Student;College/University;Tunisia
167;1 hand;Touch Typist;between 1 hour and 3 hours per day;20-29;Female;Student;College/University;Tunisia
31;2 hands;Two Finger Typist;between 1 hour and 3 hours per day;20-29;Female;Professional;College/University;Tunisia
144;2 hands;Two Finger Typist;less than an hour per day;20-29;Male;Student;College/University;Tunisia
131;2 hands;Touch Typist;less than an hour per day;30-39;Male;Professional;College/University;Tunisia
184;2 hands;Two Finger Typist;between 1 hour and 3 hours per day;20-29;Female;Student;College/University;Tunisia
94;2 hands;Touch Typist;less than an hour per day;20-29;Female;Student;College/University;France
109;2 hands;Touch Typist;More than 3 hours per day;20-29;Male;Professional;College/University;Canada
55;2 hands;Two Finger Typist;between 1 hour and 3 hours per day;20-29;Male;Professional;College/University;Tunisia
67;2 hands;Touch Typist;less than an hour per day;20-29;Female;Student;College/University;Tunisia
117;2 hands;Touch Typist;More than 3 hours per day;>=50;Female;Professional;College/University;France
130;2 hands;Touch Typist;between 1 hour and 3 hours per day;20-29;Female;Student;College/University;France
110;2 hands;Touch Typist;between 1 hour and 3 hours per day;20-29;Male;Professional;College/University;France
79;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Professional;College/University;Tunisia
44;2 hands;Touch Typist;less than an hour per day;20-29;Female;Student;College/University;Tunisia
127;2 hands;Two Finger Typist;between 1 hour and 3 hours per day;30-39;Female;Professional;College/University;Tunisia
164;1 hand;Touch Typist;between 1 hour and 3 hours per day;30-39;Female;Student;College/University;Tunisia
133;2 hands;Touch Typist;between 1 hour and 3 hours per day;20-29;Female;Student;College/University;France
87;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Student;College/University;Tunisia
142;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Student;College/University;France
104;2 hands;Two Finger Typist;More than 3 hours per day;20-29;Female;Student;College/University;Bahamas
56;2 hands;Touch Typist;between 1 hour and 3 hours per day;16-19;Female;Student;High School;Tunisia
104;2 hands;Touch Typist;More than 3 hours per day;30-39;Male;Professional;College/University;Tunisia
61;2 hands;Touch Typist;More than 3 hours per day;20-29;Male;Student;College/University;Spain
87;2 hands;Touch Typist;less than an hour per day;20-29;Female;Student;College/University;Germany
52;2 hands;Touch Typist;less than an hour per day;20-29;Female;Student;College/University;Tunisia
138;2 hands;Two Finger Typist;between 1 hour and 3 hours per day;20-29;Male;Professional;College/University;Tunisia
100;2 hands;Touch Typist;between 1 hour and 3 hours per day;20-29;Male;Student;College/University;Tunisia
73;2 hands;One Finger Typist;less than an hour per day;20-29;Female;Student;College/University;Tunisia
131;2 hands;Touch Typist;between 1 hour and 3 hours per day;20-29;Male;Student;College/University;Tunisia
19;2 hands;Touch Typist;between 1 hour and 3 hours per day;20-29;Male;Student;College/University;Tunisia
53;2 hands;Touch Typist;less than an hour per day;20-29;Female;Student;College/University;Tunisia
49;2 hands;Touch Typist;More than 3 hours per day;20-29;Male;Student;College/University;Tunisia
174;2 hands;One Finger Typist;between 1 hour and 3 hours per day;20-29;Male;Student;College/University;Tunisia
148;2 hands;Touch Typist;between 1 hour and 3 hours per day;20-29;Female;Professional;College/University;Tunisia
147;1 hand;Touch Typist;More than 3 hours per day;20-29;Female;Student;College/University;France
97;2 hands;Two Finger Typist;less than an hour per day;20-29;Female;Student;College/University;Tunisia
89;2 hands;Touch Typist;More than 3 hours per day;20-29;Male;Professional;College/University;Tunisia
114;2 hands;Touch Typist;between 1 hour and 3 hours per day;20-29;Male;Professional;College/University;Tunisia
76;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Professional;College/University;United Arab Emirates
144;2 hands;Touch Typist;between 1 hour and 3 hours per day;20-29;Male;Student;College/University;Tunisia
109;2 hands;Two Finger Typist;between 1 hour and 3 hours per day;16-19;Female;Student;College/University;Tunisia
73;2 hands;Touch Typist;less than an hour per day;20-29;Female;Student;College/University;Tunisia
115;2 hands;Two Finger Typist;More than 3 hours per day;20-29;Female;Student;College/University;Tunisia
193;2 hands;Touch Typist;More than 3 hours per day;20-29;Male;Professional;College/University;Tunisia
181;2 hands;Touch Typist;between 1 hour and 3 hours per day;30-39;Male;Professional;College/University;France
114;2 hands;Touch Typist;More than 3 hours per day;20-29;Male;Student;College/University;Tunisia
118;2 hands;Touch Typist;More than 3 hours per day;20-29;Male;Student;College/University;Tunisia
90;2 hands;Touch Typist;between 1 hour and 3 hours per day;30-39;Male;Professional;College/University;Tunisia
128;2 hands;Touch Typist;between 1 hour and 3 hours per day;20-29;Female;Professional;College/University;Italy
181;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Student;College/University;Italy
112;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Professional;College/University;Germany
168;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Student;College/University;Tunisia
108;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Professional;College/University;Tunisia
147;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Professional;College/University;France
93;2 hands;Touch Typist;less than an hour per day;20-29;Female;Student;College/University;Tunisia
99;2 hands;Touch Typist;between 1 hour and 3 hours per day;16-19;Female;Student;College/University;Tunisia
100;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Student;College/University;Tunisia
121;2 hands;Touch Typist;less than an hour per day;20-29;Female;Student;College/University;Tunisia
106;2 hands;Two Finger Typist;less than an hour per day;20-29;Female;Student;College/University;Tunisia
101;2 hands;Touch Typist;More than 3 hours per day;20-29;Male;Student;College/University;Tunisia
123;2 hands;Two Finger Typist;between 1 hour and 3 hours per day;20-29;Male;Student;College/University;United_States
103;2 hands;Touch Typist;More than 3 hours per day;20-29;Male;Student;College/University;Tunisia
112;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Professional;College/University;Belgique
150;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Professional;College/University;Tunisia
77;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Professional;College/University;Tunisia
93;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Professional;College/University;France
67;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Professional;College/University;Belgique
136;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Student;College/University;Tunisia
93;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Professional;College/University;Tunisia
35;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Student;College/University;Tunisia
65;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Professional;College/University;France
48;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Professional;College/University;Tunisia
93;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Student;College/University;Tunisia
161;2 hands;Touch Typist;More than 3 hours per day;20-29;Male;Professional;College/University;Arabie_Saoudite
155;2 hands;Touch Typist;More than 3 hours per day;20-29;Male;Professional;College/University;Arabie_Saoudite
181;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Professional;College/University;Tunisia
106;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Student;College/University;Tunisia
29;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Professional;College/University;Tunisia
87;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Professional;College/University;Angola
47;2 hands;Two Finger Typist;More than 3 hours per day;30-39;Male;Professional;College/University;Spain
104;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Student;College/University;Tunisia
130;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Student;College/University;Tunisia
147;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Student;College/University;Tunisia
174;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Student;College/University;France
123;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Student;College/University;Bahamas
72;2 hands;Touch Typist;More than 3 hours per day;>=50;Female;Professional;College/University;Belize
122;2 hands;Two Finger Typist;less than an hour per day;30-39;Male;Professional;College/University;Tunisia
86;2 hands;Touch Typist;less than an hour per day;30-39;Male;Professional;College/University;Tunisia
56;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Student;College/University;Tunisia
41;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Professional;College/University;France
72;2 hands;Touch Typist;More than 3 hours per day;20-29;Female;Professional;College/University;France
113;2 hands;Touch Typist;More than 3 hours per day;30-39;Male;Professional;College/University;Portugal
